,Property Name,Borough,yb,ppt,Property Type,Occupancy,seui,ngu,eu,tge,wu
5,Union Temple,Brooklyn,1925,Worship Facility,Other,100,61.3,24384312.42738699,755416.8,224.5,1380.0
11,MBD Brooklyn,Brooklyn,1931,Refrigerated Warehouse,Industrial,100,62.1,36084400.2,2204474.6,2112.1,2400.0
12,810 Humboldt St.,Brooklyn,1963,Manufacturing/Industrial Plant,Other,100,38.3,250272.9,844769.9,88.2,1654.6
16,2626 Homecrest Avenue,Brooklyn,1954,Multifamily Housing,Multifamily,100,111.8,6677050.0,2305455.4,559.1,7807.4
19,1 MTC,Brooklyn,1991,Office,Office,100,222.0,28433975.0,56145655.7,6537.8,20741.2
39,1901 Ocean Parkway - Sephardic Community Center,Brooklyn,1981,Other - Education,Other,100,381.1,11393221.3,6712632.4,1200.3,16217.966089617938
49,1487 SCHENECTADY AVE,Brooklyn,1979,Distribution Center,Other,100,42.8,21060.3,1191376.4,1.1,293.2
52,Central High School,Brooklyn,1999,K-12 School,SpecialPurpose,100,81.7,24384312.42738699,743739.5,65.9,331.0
55,900 Avenue H LLC,Brooklyn,1937,Multifamily Housing,Multifamily,100,98.4,6722745.3,165242.5,371.7,8234.2
56,1561 E. 13th Street LLC,Brooklyn,1940,Multifamily Housing,Multifamily,100,85.0,5429559.4,105903.5,297.8,2799.3
57,2016 Avenue N LLC,Brooklyn,1935,Multifamily Housing,Multifamily,100,84.5,4739826.4,109765.3,261.5,2460.3
58,1701 W 3rd Street LLC,Brooklyn,1940,Multifamily Housing,Multifamily,100,82.9,8611425.0,334421.8,487.0,5837.8
59,150-74th Street LLC,Brooklyn,1930,Multifamily Housing,Multifamily,100,98.2,4833716.8,166805.9,271.5,2005.5
64,Mr.Bear LLC,Brooklyn,2006,Multifamily Housing,Multifamily,95,68.3,1928817.1,397580.5,137.7,2227.9
74,134,Brooklyn,1931,Multifamily Housing,Multifamily,100,29.8,991999.9,5425836.0760790175,52.7,29.0
101,J A SHAMOSH LLC.,Brooklyn,1971,Non-Refrigerated Warehouse,Industrial,100,48.9,707150.5,962225.4,122.9,16217.966089617938
114,"F.P. Brighton, LLC",Brooklyn,1930,Multifamily Housing,Multifamily,100,72.0,3456459.7,86605.9,191.3,2788.7
115,"2753 Realty, LLC",Brooklyn,1923,Multifamily Housing,Multifamily,100,88.2,3876739.8,86155.5,213.6,3390.3
119,Michael Chad - 840 E 8th St,Brooklyn,1953,Multifamily Housing,Multifamily,100,112.5,10451582.9,3022938.1,823.1,7134.2
141,Boro Park,Brooklyn,1960,Hospital (General Medical & Surgical),Hospitality,100,259.9,42636781.5,9927551.4,2749.8,16217.966089617938
145,1710 Cortelyou Road - 40241,Brooklyn,1960,Multifamily Housing,Multifamily,100,109.0,9512120.2,1927126.7,676.1,13377.7
146,3857 Kings Highway - 40239,Brooklyn,1950,Multifamily Housing,Multifamily,100,136.4,5629551.0,1781106.3,456.9,8326.5
