,Property Name,Borough,yb,ppt,Property Type,Occupancy,seui,ngu,eu,tge,wu
0,The Argonaut Building,Manhattan,1909,Office,Office,95,138.4,1435754.7,6551394.1,732.4,3635.5
2,The Nomad Hotel,Manhattan,1999,Hotel,Hotel,85,271.1,8245445.1,8033914.4,1150.2,10762.6
3,10 West 27 Street Corp,Manhattan,1994,Hotel,Hotel,100,163.0,1848519.4,1976691.9,273.4,790.1
4,Westbury Realty,Manhattan,2012,Hotel,Hotel,0,64.2,24384312.42738699,1022951.6,90.7,143.0
6,155 West 66th Street Condominium,Manhattan,1999,Hotel,Hotel,100,243.4,1902140.0,7622453.3,1254.6,2641.6
15,Fashion Tower,Manhattan,1923,Office,Office,100,112.2,396.8,3158235.2,437.8,1690.4
17,The Helux,Manhattan,1998,Multifamily Housing,Multifamily,95,110.8,22065691.9,3909579.8,1518.6,12865.3
20,650 Fifth Avenue,Manhattan,1979,Office,Office,85,163.1,24384312.42738699,16134500.4,2123.9,6328.8
21,UJA 732 Lexington Avenue,Manhattan,1953,Office,Office,95,134.4,24384312.42738699,10215698.6,1133.6,4800.0
23,Sovereign - 425 East 58th Street,Manhattan,1972,Multifamily Housing,Multifamily,100,203.8,86424630.4,29697683.7,7413.4,47279.9
30,Jay Cee of New York Corp.,Manhattan,1904,Office,Office,85,119.1,2346.7,870169.5,160.7,71712.1
31,New York Midtown Corp,Manhattan,1923,Office,Office,85,131.0,24384312.42738699,5425836.0760790175,185.7,1330.9
32,The Salem House,Manhattan,1955,Multifamily Housing,Multifamily,100,201.9,8025038.8,1495515.8,558.8,4661.1
34,Whitney Museum of American Art,Manhattan,2015,Museum,Other,100,345.7,19855781.4,17580074.3,2613.3,9446.6
35,madison square garden,Manhattan,1968,Other - Entertainment/Public Assembly,Other,100,304.4,6441106.3,89965163.2,2904.5,16217.966089617938
36,JOLLY HOTEL USA,Manhattan,1930,Hotel,Hotel,100,191.9,24384312.42738699,4541399.4,1273.7,8762.8
40,LEXINGTON PARC CONDOMINIUM,Manhattan,1989,Multifamily Housing,Multifamily,100,79.9,56000.0,668752.0,347.9,4678.3
50,150 East 35th,Manhattan,1912,College/University,Other,100,97.3,614285.3,1031572.1,124.1,1973.2
51,2436 LHT,Manhattan,1930,Multifamily Housing,Multifamily,100,146.2,185381.8,551624.9,382.2,16217.966089617938
53,Parking Garage E,Manhattan,1922,College/University,Other,100,25.7,24384312.42738699,212340.1,18.8,127.0
63,"120 Broadway Holdings, LLC",Manhattan,1915,Office,Office,95,164.7,2077306.9,83856768.2,10255.3,20924.5
65,Episcopal Church Center,Manhattan,1962,Office,Office,100,140.8,24384312.42738699,4667864.3,691.5,2948.4
66,Village Place Corporation,Manhattan,1928,Multifamily Housing,Multifamily,100,65.6,3358525.8,222174.0,198.1,196855.2
67,Wyndham Midtown 45,Manhattan,2002,Hotel,Hotel,100,191.1,9028200.0,5509860.9,968.0,16217.966089617938
68,Icon parking garage,Manhattan,1920,College/University,Other,100,18.8,80209.1,130224.3,15.8,2.1
69,55th && 5th Avenue Corporation,Manhattan,1927,Office,Office,80,178.5,24384312.42738699,16364634.5,1668.9,6792.2
72,Jeffries Morris - 29 Broadway,Manhattan,1929,Office,Office,100,155.8,24384312.42738699,10737980.4,1678.7,16217.966089617938
73,Park Lane Hotel,Manhattan,1971,Hotel,Hotel,100,236.6,1844700.0,16704469.7,4348.2,78597.2
75,Kipling Arms,Manhattan,1900,Multifamily Housing,Multifamily,100,102.4,6131448.7,1277643.7,438.9,4231.7
76,Marben Realty,Manhattan,1920,Multifamily Housing,Multifamily,100,74.5,2430252.7,528804.6,176.0,1863.4
78,3 East 43rd Street,Manhattan,1909,College/University,Other,100,246.8,24384312.42738699,3144282.1,278.8,887.2
79,Berkeley 12 East 41st LLC,Manhattan,1926,College/University,Other,100,263.1,24384312.42738699,5183959.3,770.1,16217.966089617938
80,ESRT - One Grand Central Place,Manhattan,1928,Office,Office,100,146.9,2160197.0,36343152.6,6306.0,15989.4
81,ESRT - 250 West 57th Street,Manhattan,1921,Office,Office,80,175.0,9745.5,22772515.4,2929.9,5787.0
82,ESRT - 1400 Broadway,Manhattan,1935,Office,Office,100,179.4,37312.1,39731751.8,5147.4,12600.2
83,ESRT - 501 7th Ave*,Manhattan,1928,Office,Office,100,182.1,1168386.7,22510266.5,2864.3,6672.6
84,ESRT - Empire State Building,Manhattan,1930,Office,Office,100,178.6,4359150.0,130434834.9,17043.8,93365.2
85,35CPN,Manhattan,1984,Multifamily Housing,Multifamily,95,126.3,200279.4,881470.0,431.5,3409.6
87,836 Broadway,Manhattan,1913,Office,Office,100,152.0,35606.5,2193416.7,357.8,778.0
88,441-451,Manhattan,1925,Multifamily Housing,Multifamily,100,108.7,520500.0,3361857.3,1442.4,7279.3
90,Kalikow - 101 Park Ave_SWA,Manhattan,1982,Office,Office,90,184.6,661027.2,64042337.4,7208.9,16217.966089617938
91,Hotel Plaza Athenee,Manhattan,1927,Hotel,Hotel,100,154.5,1456025.0,7878947.5,775.9,16217.966089617938
92,41 Bennett,Manhattan,1920,Multifamily Housing,Multifamily,90,101.7,2804709.1,452281.0,189.1,16217.966089617938
93,21 East 10,Manhattan,1900,Multifamily Housing,Multifamily,100,114.7,3102751.8,1188082.7,270.1,2750.6
94,11 Howard Hotel,Manhattan,1961,Hotel,Hotel,100,296.6,5405694.3,8857958.6,1072.5,16217.966089617938
103,Lycee Francais LL84,Manhattan,2002,K-12 School,SpecialPurpose,100,136.4,3954954.6,6543278.0,790.2,16217.966089617938
106,Malcolm X II Phase A Associates,Manhattan,1910,Multifamily Housing,Multifamily,100,112.6,5665497.2,1807986.1,461.2,7099.0
109,159 E 30 Street - 37438,Manhattan,1987,Multifamily Housing,Multifamily,100,196.3,5650005.8,1923845.9,470.7,3544.6
111,1 United Nations Plaza,Manhattan,1975,Office,Office,100,244.6,1381082.1,35110077.9,4947.5,22742.6
