,Property Name,Borough,yb,ppt,Property Type,Occupancy,seui,ngu,eu,tge,wu
1,Cathedral Preparatory Seminary,Queens,1963,K-12 School,SpecialPurpose,100,43.5,2068300.1,616343.7,164.5,102.9
7,38-20 Bowne Street Flushing,Queens,1975,Multifamily Housing,Multifamily,100,169.1,24384312.42738699,10446179.3,926.2,18570.4
8,Queens- Queen Grand Realty,Queens,1950,Distribution Center,Other,100,99.2,3243162.2,5234449.5,636.3,1003.2
18,Wendi Realty LLC,Queens,1940,Refrigerated Warehouse,Industrial,100,89.9,24384312.42738699,3440512.5,305.0,1227.4
24,140-25 Ash Avenue,Queens,1928,Multifamily Housing,Multifamily,100,41.5,24384312.42738699,375331.4,33.3,16217.966089617938
29,Center for Automotive Education and Training,Queens,2005,Other - Education,Other,100,152.3,2817938.3,3554617.0,464.8,1829.8
37,43rd Ave Enterprises Corp.,Queens,1931,Manufacturing/Industrial Plant,Other,100,49.4,326400.0,528177.4,64.2,18428.5
38,Staples,Queens,1961,Retail Store,Retail,100,235.0,145600.0,1051476.0,101.0,74.1
41,Montclair Gardens Inc.,Queens,1944,Multifamily Housing,Multifamily,100,92.2,8413912.9,256342.4,469.6,8035.9
42,Surfair Equities LTD,Queens,1937,Multifamily Housing,Multifamily,100,365.9615532989144,24384312.42738699,120723.5,3694.476402518561,16217.966089617938
43,Cross Bay Co-op Corp,Queens,1959,Multifamily Housing,Multifamily,100,168.7,11189751.2,2741415.8,837.4,8269.9
44,Cord Meyer Devlopment,Queens,1950,Multifamily Housing,Multifamily,90,691.4,19956511.5,4335479.0,1444.4,16217.966089617938
45,Cord Meyer Development LLC Bay1-1,Queens,1950,Multifamily Housing,Multifamily,90,122.8,9442347.4,5425836.0760790175,501.5,16217.966089617938
46,Bay Terrace Co OP 4,Queens,1950,Multifamily Housing,Multifamily,90,194.3,4346326.9,2817056.4,480.6,16217.966089617938
47,Cord Meyer Development LLC Bay 4-1,Queens,1960,Multifamily Housing,Multifamily,90,129.1,8483120.3,5425836.0760790175,450.6,16217.966089617938
48,Bay Terrace Co Op Section 9,Queens,1960,Multifamily Housing,Multifamily,100,196.6,10745294.0,2606495.1,801.8,16217.966089617938
60,175-27 Wexford Terrace LLC,Queens,1938,Multifamily Housing,Multifamily,100,117.6,7454293.8,188600.3,412.7,6463.2
