,Property Name,Borough,yb,ppt,Property Type,Occupancy,seui,ngu,eu,tge,wu
9,989 East 149th,Bronx,1977,Distribution Center,Other,100,8.9,1277797.0,5425836.0760790175,67.9,521.6
10,955 East 149th,Bronx,1969,Distribution Center,Other,100,10.3,3725146.9,5425836.0760790175,197.9,404.3
13,Bronx Center for Rehab,Bronx,1950,Hospital (General Medical & Surgical),Hospitality,100,382.1,3857735.8,6571546.6,787.5,8782.2
14,Centers FC,Bronx,1905,Office,Office,100,0.8,35678.6,6410.0,2.5,424.9
25,Clinton Towers/PP&H,Bronx,1973,Other,Other,100,363.8,5653739.9,7682349.3,981.4,1245827.1
26,Clinton Tower/PP&H,Bronx,1977,Other,Other,100,313.1,2392119.3,7461053.3,788.5,974348.4
27,Clinton Tower/ PP & H,Bronx,1977,Other,Other,100,337.6,5178096.2,7065173.4,901.4,1083729.8
28,Sycamore Court,Bronx,2011,Other,Other,100,44.8,370167.7,1250986.5,130.6,3640.8
33,Davidson Avenue,Bronx,1926,Multifamily Housing,Multifamily,100,133.7,5492195.8,851396.1,367.2,16217.966089617938
54,3240 Henry Hudson parkway LLC,Bronx,1938,Multifamily Housing,Multifamily,100,61.8,24384312.42738699,479394.1,672.7,6007.6
61,1870 Pelham Pkwy South,Bronx,2007,Other,Other,100,93.8,910973.3,1488092.7,180.3,16217.966089617938
62,Parnes Clinic,Bronx,1969,College/University,Other,100,254.4,6544387.8,1974625.2,522.7,1443.7
70,Hollywood Towers,Bronx,2012,Multifamily Housing,Multifamily,90,104.2,1947311.5,1039704.0,195.6,2237.9
95,1173 Nelson,Bronx,1939,Multifamily Housing,Multifamily,100,143.0,5484372.6,1070328.4,386.2,6163.9
96,1224 Prospect Avenue,Bronx,2011,Multifamily Housing,Multifamily,100,103.1,2193628.2,1920827.6,286.8,3476.3
107,Southern Boulevard IV Associates-777/783,Bronx,1920,Multifamily Housing,Multifamily,100,138.0,4463753.0,1197440.3,343.3,3549.2
108,Standby One Associates-1421/1425,Bronx,1916,Multifamily Housing,Multifamily,100,168.3,5445206.5,1394464.7,412.9,2520.5
113,South Bronx Charter School,Bronx,2014,K-12 School,SpecialPurpose,100,374.4,6881326.6,2422656.4,580.3,566.9
116,Sisters Servants of Mary,Bronx,1958,Residence Hall/Dormitory,Other,100,37.0,1198673.3,252342.4,86.0,494.3
143,1815 Grand Concourse,Bronx,1928,Multifamily Housing,Multifamily,100,92.7,24384312.42738699,1071760.8,95.0,16217.966089617938
153,917 Ogden Avenue,Bronx,1929,Multifamily Housing,Multifamily,100,156.5,54612.1,647305.9,330.9,16217.966089617938
163,St. Joseph's Seminary & College Egan Pavilion: St. John Vianney Priest Residence,Bronx,1902,Residence Hall/Dormitory,Other,60,164.2,3909044.2,5107806.8,660.5,16217.966089617938
175,school,Bronx,1924,K-12 School,SpecialPurpose,100,116.3,1970525.8,340932.5,134.9,1179.3
